subject_id,condition,goal_percent,side,ml_outward_peak_5_25,ap_braking_peak_5_25,ap_propulsion_peak_35_60,vertical_impact_peak_0_15,vertical_loading_slope_nbw_per_pct_0_15,vertical_first_peak_5_25,vertical_first_peak_timing_pct_5_25,vertical_midstance_minimum_20_40,vertical_second_peak_35_55,vertical_second_peak_timing_pct_35_55
5,MTR80,80,L,0.1068626058116251,-0.2135557006654209,0.1867130006483952,1.1513027208179285,0.1812305592580705,1.1513027208179285,12.0,0.7782051965293743,0.9955176348976996,45.0
5,MTR80,80,R,0.0585978252939765,-0.1846019712065771,0.2039273022257872,1.0498825947771933,0.1006097542353492,1.0557591863984097,16.0,0.7954466669285565,1.066966840390561,51.0
6,Baseline,0,L,0.0633145120324928,-0.1237751157692294,0.1596329241289802,1.0397399248461885,0.1190718769654476,1.0425591780028929,16.0,0.7952199328558224,1.0305251124233918,50.0
6,Baseline,0,R,0.0695699064684398,-0.1198188059752967,0.1643088671583232,0.9956864539356248,0.1376297573705302,0.9956864539356248,13.0,0.8246542210458451,1.037734207333261,50.0
6,MTR20,20,L,0.038257165403926,-0.1036646648710431,0.1165391562942998,0.9263786680369068,0.1947874503059741,0.9263786680369068,12.0,0.6618110321023093,0.8123706406969345,44.0
6,MTR20,20,R,0.0616577028228332,-0.2067775891597004,0.140393769028269,1.1478996247332116,0.1667035119404461,1.1478996247332116,12.0,0.5084701284552103,0.8005068396923705,45.0
6,MTR40,40,L,0.0475820349727727,-0.1777859564510688,0.1561082614691919,1.1156352400928944,0.2520864164454044,1.1156352400928944,11.0,0.6974420883740794,0.8844335080119538,44.0
6,MTR40,40,R,0.0614840055430551,-0.2145137575125146,0.1659638828956224,1.1871768969388408,0.1996793143450453,1.1871768969388408,11.0,0.57950711896567,0.8612139006850593,45.0
6,MTR60,60,L,0.0436639535990019,-0.1648558888993058,0.1737938236451395,1.099521791632019,0.2393197389570829,1.099521791632019,11.0,0.6535831823670161,0.8724821475672603,43.0
6,MTR60,60,R,0.0620521272923701,-0.2462049594516648,0.1535515459838168,1.165037477638826,0.192688308204922,1.165037477638826,11.0,0.5061346140338148,0.844027985539206,48.0
6,MTR80,80,L,0.0497020197847148,-0.1539174200969472,0.203472155960057,1.1099510425217876,0.2796946750833882,1.1099510425217876,12.0,0.699020510971222,0.958628831305512,46.0
6,MTR80,80,R,0.0691087487484168,-0.2621935938541933,0.1971919266289108,1.36415323440305,0.250234074282701,1.36415323440305,10.0,0.4825924351712292,0.8933142266262991,48.0
7,Baseline,0,L,0.0868745841616864,-0.1581087959334196,0.1655144149412038,1.101140706441714,0.1179603931450174,1.121813612588384,17.0,0.8848606828962894,1.093823647398822,48.0
7,Baseline,0,R,0.0879700967512884,-0.1563371397485379,0.1847690082617676,1.0573516451743947,0.1037214747227831,1.100213601906825,18.0,0.8968876794843154,1.0982522932582182,49.0
7,MTR20,20,L,0.0917361392919523,-0.2370017622385439,0.2010569860816603,1.2953692894694968,0.1587083622168005,1.3019852300212675,16.0,0.7191535699453198,1.0461082345849764,49.0
7,MTR20,20,R,0.086990393486217,-0.2691510847684514,0.1981518540550835,1.3445413694814594,0.1607495981249266,1.3445413694814594,15.0,0.6757064428230453,1.0484998907042993,48.0
7,MTR40,40,L,0.0783471673090091,-0.2484185483263453,0.2354929679023948,1.3369776181886863,0.171172244058064,1.3369776181886863,15.0,0.6671507505301314,1.0306651568170038,49.0
7,MTR40,40,R,0.0739370224587749,-0.2938277964354679,0.1963442218555643,1.3187552260938835,0.18680489526048,1.3187552260938835,14.0,0.6555698967307929,1.007279931661352,51.0
7,MTR60,60,L,0.100495735723429,-0.2250455623073665,0.2287100863567891,1.1805477040373558,0.1514966334428619,1.1805477040373558,13.0,0.776478174230843,1.1387156326480932,49.0
7,MTR60,60,R,0.1005421857849952,-0.2058428885840228,0.2203028848362781,1.1181048003702443,0.1424228496799006,1.1181048003702443,13.0,0.7474581407757623,1.096860111066374,51.0
7,MTR80,80,L,0.0966203934036527,-0.2398610546070936,0.2426640565310917,1.1980005103081688,0.162676436162652,1.1980005103081688,13.0,0.7319177003252602,1.1044587523798397,48.0
7,MTR80,80,R,0.0888135888015278,-0.2251253458337798,0.2377193303521708,1.1848714629661774,0.1522426041616117,1.1848714629661774,14.0,0.7266201247290669,1.1090019559792863,49.0
8,Baseline,0,L,0.0798632436342915,-0.1525443512355944,0.126674896537183,0.9642939678890384,0.1130521005118598,1.0410459640986405,19.0,0.8553587519359007,1.010809303749951,47.0
8,Baseline,0,R,0.0848007659908548,-0.1413591478683335,0.143884125310777,0.9213240045282208,0.1119999713231659,1.0466014789895568,20.0,0.7765601368861162,1.0190981722951555,48.0
8,MTR20,20,L,0.0885953157056532,-0.1974200791646443,0.1798549358857553,1.067699170563232,0.1223273085545427,1.0685910760124295,16.0,0.7517692146582755,1.0237721419220216,48.0
8,MTR20,20,R,0.0871003715761966,-0.1517611357022196,0.1944215938099463,1.0491745353492894,0.1439966184386719,1.079486840804891,18.0,0.7096367791332382,1.006050333774585,51.0
8,MTR40,40,L,0.0825100171082375,-0.172979595722334,0.1753911675179327,1.039411928624619,0.1531465250145013,1.039411928624619,15.0,0.7375076695528365,0.990038559879342,48.0
8,MTR40,40,R,0.0919707500892289,-0.1618275097788861,0.1863064273355656,1.0128654320813626,0.1289331373885043,1.0163302422889715,16.0,0.6427837176078558,0.9203670743611037,48.0
8,MTR60,60,L,0.0979854344236441,-0.2190142261050405,0.2088717252340301,1.1459594946787892,0.1495610749381428,1.1459594946787892,13.0,0.7266089962848338,1.038291231086067,47.0
8,MTR60,60,R,0.1083138587656954,-0.2039811104111294,0.2546395428390388,1.173046476101238,0.1336456731725105,1.1752622295761406,16.0,0.693063171139204,1.076681063744754,48.0
8,MTR80,80,L,0.1060218863542675,-0.2465969191050359,0.2503783749398918,1.231707916020165,0.1889008702129309,1.231707916020165,13.0,0.6725371293953752,1.0961952726219726,47.0
8,MTR80,80,R,0.116196937919183,-0.2328063129473086,0.2614344305795761,1.2511809281454491,0.1629627613178809,1.2511809281454491,15.0,0.6557912719183278,1.0569693348793114,48.0
9,Baseline,0,L,0.0715631322914483,-0.1301646792329701,0.1239447596655265,0.924680257289298,0.1447660706947916,0.9854014190185828,20.0,0.9238059947948962,1.0460645467863472,47.0
9,Baseline,0,R,0.068844140411432,-0.124176313046405,0.1408189377556548,0.8394455978361037,0.1199126103786049,0.9744002366379344,25.0,0.9302697629164548,1.0318099487415269,49.0
9,MTR20,20,L,0.0761643850022718,-0.142254478245094,0.1487018213878909,1.158726154479739,0.159072679605907,1.158726154479739,15.0,0.8721843497696007,1.019129968487747,44.0
9,MTR20,20,R,0.0830229018369665,-0.1325402995411613,0.1739329343045828,1.018118287121634,0.1353882780197889,1.045271077762528,19.0,0.9291403776515896,0.9598781914928314,46.0
9,MTR40,40,L,0.0939361569508441,-0.1945637250159269,0.1628353076504675,1.3805064302303247,0.184976463135489,1.3805064302303247,15.0,0.7961153151848719,0.956465619210875,47.0
9,MTR40,40,R,0.1145734536213799,-0.1501267815969448,0.1958833544769639,1.2767206057402498,0.1566285158669683,1.2847464307983758,16.0,0.825332990860128,0.8894329078214792,47.0
9,MTR60,60,L,0.0890777473616822,-0.1886165031564254,0.1857000444748619,1.437832949028565,0.2136282098997325,1.437832949028565,14.0,0.7951527494803352,0.944716768294905,45.0
9,MTR60,60,R,0.1103910767182462,-0.1832209808785171,0.1842929069679651,1.3415276795318996,0.1806678568014703,1.3415276795318996,15.0,0.8219065636999056,0.8699483357674638,46.0
9,MTR80,80,L,0.0989261715064986,-0.210330111859911,0.1956883795779629,1.495488594773333,0.2373887433669705,1.495488594773333,14.0,0.7488627045213128,0.9514673756855816,46.0
9,MTR80,80,R,0.1228332895448084,-0.2106681770388215,0.1964937065830622,1.437054507448969,0.217084480280971,1.437054507448969,14.0,0.769865379200391,0.8878218257214515,46.0
10,Baseline,0,L,0.0531990695932978,-0.0955882773728097,0.1434237401557707,0.8526499149438665,0.1009769214989825,0.905016830889296,19.0,0.723810194525913,0.9571981735648434,48.0
10,Baseline,0,R,0.0555606748368795,-0.1077200253499847,0.1243240736707116,0.848595406194331,0.080611398188098,0.9458269890512584,19.0,0.7081996931235345,0.956647767752412,47.0
10,MTR20,20,L,0.0634131867698953,-0.1366567785676143,0.1615627611066911,0.9335308414288654,0.1105189203645607,0.9552433313486578,18.0,0.7730955540193672,1.0028609567345532,48.0
10,MTR20,20,R,0.0659163149164151,-0.1479118549636936,0.1408276995639939,0.9759962366309732,0.1053509712791621,1.025329608613292,18.0,0.7671628383727539,1.00982524132505,49.0
10,MTR40,40,L,0.069189439313861,-0.1627958285681822,0.1815706989481139,1.0461149246910777,0.1287122629707023,1.0461149246910777,15.0,0.7437531967404045,1.034372219169618,48.0
10,MTR40,40,R,0.0701613849732442,-0.1739433846659152,0.1607207324559295,1.086702952201366,0.123921736040463,1.0967455183659711,16.0,0.7305028483332365,1.0550150124290367,48.0
10,MTR60,60,L,0.07329546361094,-0.1846894367483711,0.2003462482410914,1.084526706772854,0.1396848095847982,1.084526706772854,14.0,0.7216123517696724,1.0369948375204443,48.0
10,MTR60,60,R,0.0730024238041421,-0.1947044989611496,0.1784884571417119,1.144276735197408,0.1301839674176664,1.144276735197408,15.0,0.7256530967110176,1.046468570794126,48.0
10,MTR80,80,L,0.0724285396856801,-0.2049441726204032,0.2180820716449281,1.1317951391541994,0.1534239468403905,1.1317951391541994,13.0,0.6716797404798044,1.0656809798704263,47.0
10,MTR80,80,R,0.0757610113358686,-0.2272582122643221,0.1921220357050623,1.219822203582639,0.1506403656032157,1.219822203582639,14.0,0.6769451888645064,1.080438920591421,47.0
12,Baseline,0,L,0.0808233526292893,-0.1970991359775636,0.2355734111567843,1.1983509892518032,0.1256295104959258,1.1983509892518032,15.0,0.6754429599185426,1.1794422412622216,49.0
12,Baseline,0,R,0.0791030791599561,-0.2001192108266972,0.2237064362957428,1.2020441980019834,0.1248072217782566,1.2020441980019834,15.0,0.6999054663094624,1.1508573001205094,48.0
12,MTR20,20,L,0.0678589691174181,-0.2272493011262427,0.2935567674805737,1.427360276130625,0.2160870721297186,1.427360276130625,13.0,0.5431797390147128,1.2221090180930516,46.0
12,MTR20,20,R,0.0996642145850823,-0.2183008166076976,0.2421552252633712,1.2988137196198832,0.1463941512926617,1.2988137196198832,15.0,0.6063224540078834,1.028049887193342,48.0
12,MTR40,40,L,0.0712810142261582,-0.2646961278008387,0.331421544022108,1.5150022476954712,0.2489067020308243,1.5150022476954712,12.0,0.4518530331868367,1.2824774312303355,46.0
12,MTR40,40,R,0.1065428546141199,-0.2650332929740314,0.2895819541248395,1.3796972221689687,0.1581049683232,1.3796972221689687,14.0,0.4751963144020301,1.0810356085508528,49.0
12,MTR60,60,L,0.0766762615274099,-0.2931323076658841,0.3446072682724139,1.5840290928951797,0.2819980068975525,1.5840290928951797,12.0,0.3955882394901958,1.3033715956738536,46.0
12,MTR60,60,R,0.1140758234911411,-0.2957059420739072,0.2973201484884585,1.425291005926776,0.1702018717250348,1.425291005926776,14.0,0.431187393267274,1.0628141924125594,49.0
12,MTR80,80,L,0.0723294907103193,-0.2944663114561986,0.3639377337213226,1.6031624108728342,0.3059868584163397,1.6031624108728342,12.0,0.3780472792039568,1.3157097712975354,46.0
